id,symbol,timeframe,rank,buy_fast,buy_slow,sell_fast,sell_slow,performance,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,date_from,date_to,timestamp
434,SPY,2m,8,127,132,152,237,0.0019117506681940455,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
435,SPY,2m,9,37,62,127,192,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
436,SPY,2m,10,37,62,127,197,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
437,SPY,2m,11,37,62,127,202,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
438,SPY,2m,12,37,62,127,207,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
439,SPY,2m,13,37,62,127,212,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
440,SPY,2m,14,37,62,127,217,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
441,SPY,2m,15,37,62,127,222,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
442,SPY,2m,16,37,62,127,227,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
443,SPY,2m,17,37,62,127,232,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
444,SPY,2m,18,37,62,127,237,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
445,SPY,2m,19,37,62,127,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
446,SPY,2m,20,37,62,127,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
447,SPY,2m,21,37,62,127,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
448,SPY,2m,22,37,62,132,197,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
449,SPY,2m,23,37,62,132,212,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
450,SPY,2m,24,37,62,132,217,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
451,SPY,2m,25,37,62,132,222,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
452,SPY,2m,26,37,62,132,227,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
453,SPY,2m,27,37,62,132,232,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
454,SPY,2m,28,37,62,132,237,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
455,SPY,2m,29,37,62,132,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
456,SPY,2m,30,37,62,132,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
457,SPY,2m,31,37,62,132,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
458,SPY,2m,32,37,62,147,227,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
459,SPY,2m,33,37,62,147,232,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
460,SPY,2m,34,37,62,147,237,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
461,SPY,2m,35,37,62,147,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
462,SPY,2m,36,37,62,147,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
463,SPY,2m,37,37,62,147,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
464,SPY,2m,38,37,62,152,232,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
465,SPY,2m,39,37,62,152,237,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
466,SPY,2m,40,37,62,152,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
467,SPY,2m,41,37,62,152,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
468,SPY,2m,42,37,62,152,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
469,SPY,2m,43,37,62,157,237,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
470,SPY,2m,44,37,62,157,242,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
471,SPY,2m,45,37,62,157,247,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
472,SPY,2m,46,37,62,157,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
473,SPY,2m,47,37,62,172,252,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
474,SPY,2m,48,37,62,137,217,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
475,SPY,2m,49,37,62,137,222,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
476,SPY,2m,50,37,62,137,227,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
477,SPY,2m,51,37,62,137,232,-0.0008224122612171536,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
